zona,bandera,pais,boric,jadue,apruebodignidad,sichel,lavin,briones,desbordes,chilevamos,nulo,blanco,validos,total,v_lavin,v_briones,v_sichel,v_desbordes,v_boric,v_jadue
Europa,🇧🇪,Bélgica,99,212,311,15,19,11,2,47,1,0,358,359,1,0,0,0,0,1
Europa,🇭🇷,Croacia,5,1,6,1,3,0,0,4,0,0,10,10,1,0,0,0,1,0
Europa,🇩🇰,Dinamarca,54,44,98,14,5,4,0,23,1,0,121,122,0,0,1,0,1,0
Europa,🇪🇸,España,690,839,1529,139,81,96,19,335,13,3,1864,1880,0,0,1,0,0,1
Europa,🇫🇮,Finlandia,38,22,60,8,5,8,0,21,1,0,81,82,0,0,0,0,1,0
Europa,🇫🇷,Francia,174,300,474,25,14,16,5,60,3,0,534,537,0,0,1,0,0,1
Europa,🇬🇷,Grecia,3,6,9,0,4,0,0,4,0,0,13,13,1,0,0,0,0,1
Europa,🇭🇺,Hungría,20,20,40,0,2,0,0,2,0,0,42,42,1,0,0,0,0,0
Europa,🇮🇪,Irlanda,56,54,110,13,6,8,0,27,6,1,137,144,0,0,1,0,1,0
Europa,🇮🇹,Italia,69,94,163,20,31,13,9,73,2,0,236,238,1,0,0,0,0,1
Europa,🇳🇴,Noruega,23,65,88,1,2,0,0,3,1,0,91,92,1,0,0,0,0,1
Europa,🇳🇱,Países Bajos,115,125,240,23,12,19,2,56,5,1,296,302,0,0,1,0,0,1
Europa,🇵🇱,Polonia,9,9,18,2,0,2,1,5,0,0,23,23,0,0,0,0,0,0
Europa,🇵🇹,Portugal,38,39,77,9,3,2,0,14,0,1,91,92,0,0,1,0,0,1
Europa,🇬🇧,Reino Unido,276,158,434,59,40,54,10,163,7,1,597,605,0,0,1,0,1,0
Europa,🇨🇿,República Checa,18,19,37,5,2,3,1,11,3,0,48,51,0,0,1,0,0,1
Europa,🇷🇴,Rumania,1,7,8,3,1,2,0,6,0,0,14,14,0,0,1,0,0,1
Europa,🇷🇺,Rusia,4,7,11,3,2,3,1,9,0,0,20,20,0,0,0,0,0,1
Europa,🇸🇪,Suecia,168,650,818,20,13,5,6,44,3,3,862,868,0,0,1,0,0,1
Europa,🇨🇭,Suiza,72,121,193,13,15,11,3,42,0,0,235,235,1,0,0,0,0,1
Europa,🇹🇷,Turquía,2,1,3,2,0,1,1,4,0,0,7,7,0,0,1,0,1,0
Oceania,🇦🇺,Australia,495,571,1066,99,67,74,27,267,39,1,1333,1373,0,0,1,0,0,1
Oceania,🇳🇿,Nueva Zelanda,183,179,362,29,9,11,4,53,16,1,415,432,1,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
